HANDLE,c_address,c_lra,c_typeDetail,c_typeSimple
11422000020,2862 OHIO AV,FALSE,"vacant building, confirmed",building
11471000200,3137 NEBRASKA AV,FALSE,"vacant building, confirmed",building
11475000040,3184 NEBRASKA AV,FALSE,"vacant building, confirmed",building
11475000220,3153 OREGON AV,FALSE,"vacant building, confirmed",building
11476000090,3168 PENNSYLVANIA AV,FALSE,"vacant building, confirmed",building
11477000170,3001-5 WYOMING ST,FALSE,"vacant building, confirmed",building
11490000220,3403 UTAH ST,FALSE,"vacant building, confirmed",building
11503000120,3320 MICHIGAN AV,FALSE,"vacant building, confirmed",building
11516000240,3229 OHIO AV,FALSE,"vacant building, confirmed",building
11529000050,2012 WITHNELL AV,FALSE,"vacant building, confirmed",building
11534000090,1926 WYOMING ST,FALSE,"vacant building, confirmed",building
11571000200,3535-7 CALIFORNIA AV,FALSE,"vacant building, confirmed",building
11572000250,3415 CALIFORNIA AV,FALSE,"vacant building, confirmed",building
11600000020,3726 GRAVOIS AV,FALSE,"vacant building, confirmed",building
11615000090,3824 LOUISIANA AV,FALSE,"vacant building, confirmed",building
11618000150,3614 VIRGINIA AV,FALSE,"vacant building, confirmed",building
11620000050,3844 VIRGINIA AV,FALSE,"vacant building, confirmed",building
11649000125,3714 TEXAS AV,FALSE,"vacant building, confirmed",building
11691000180,6127 ADELINE ST,FALSE,"vacant building, confirmed",building
11760000220,2634-6 ARSENAL ST,FALSE,"vacant building, confirmed",building
11867060010,3740 DR MARTIN LUTHER KING DR,FALSE,"vacant building, confirmed",building
10122000050,801-911 N BROADWAY,FALSE,"vacant building, confirmed",building
10150050055,601-15 CHOUTEAU AV,TRUE,"vacant lot, confirmed",lot
10259000011,901 DR MARTIN LUTHER KING DR,TRUE,"vacant lot, confirmed",lot
10259000012,911-23 N 9TH ST,TRUE,"vacant lot, confirmed",lot
10466040010,1001-33 RUTGER ST,FALSE,"vacant lot, possible",lot
10567000030,1506-16 OFALLON ST,FALSE,"vacant lot, possible",lot
10591000070,1432 N 14TH ST,TRUE,"vacant lot, confirmed",lot
10628000070,1723 N 13TH ST,FALSE,"vacant lot, confirmed",lot
10663000191,805 1/2 ALLEN AV,FALSE,"vacant lot, possible",lot
10667000062,1012 GEYER AV,FALSE,"vacant building, confirmed",building
10790000190,1041 SHENANDOAH AV,FALSE,"vacant building, possible",building
11003000030,2822 SHERIDAN AV,FALSE,"vacant lot, confirmed",lot
11012000040,2930 DR SAMUEL T SHEPARD DR,FALSE,"vacant lot, possible",lot
11012000060,2924 DR SAMUEL T SHEPARD DR,FALSE,"vacant lot, possible",lot
11012000100,2908 DR SAMUEL T SHEPARD DR,FALSE,"vacant lot, possible",lot
11012000120,2904 DR SAMUEL T SHEPARD DR,FALSE,"vacant lot, possible",lot
11012000130,2902 DR SAMUEL T SHEPARD DR,FALSE,"vacant lot, possible",lot
11012000140,2900 DR SAMUEL T SHEPARD DR,FALSE,"vacant lot, possible",lot
11012000150,619 REV T E HUNTLEY AV,FALSE,"vacant lot, possible",lot
11029000055,3046 THOMAS ST,FALSE,"vacant lot, possible",lot
11030000445,3055 THOMAS ST,FALSE,"vacant lot, possible",lot
11038000260,3200-6 DELMAR BLVD,FALSE,"vacant lot, confirmed",lot
11038000260,3200-6 DELMAR BLVD,FALSE,"vacant lot, confirmed",lot
11038000260,3200-6 DELMAR BLVD,FALSE,"vacant lot, confirmed",lot
11038000260,3200-6 DELMAR BLVD,FALSE,"vacant lot, confirmed",lot
11119000060,2717 BLAIR AV,FALSE,"vacant lot, confirmed",lot
11123000085,1306 ST LOUIS AV,TRUE,"vacant lot, confirmed",lot
11123000085,1306 ST LOUIS AV,TRUE,"vacant lot, confirmed",lot
11123000085,1306 ST LOUIS AV,TRUE,"vacant lot, confirmed",lot
11135030190,1909 DODIER ST,TRUE,"vacant lot, confirmed",lot
11135040250,3001 N FLORISSANT AV,TRUE,"vacant lot, confirmed",lot
11222000005,51 BREMEN AV,TRUE,"vacant lot, confirmed",lot
11245000120,2302-6 BREMEN AV,FALSE,"vacant building, possible",building
11254000193,1613-5 CARROLL ST,TRUE,"vacant lot, confirmed",lot
